Название,Тип,Широта,Долгота,Описание,Местоположение
АО «АэроKомпозит»,manufacturingFactory,54.314192,48.403132,Производство композитного крыла,Ульяновск
Алтайский край,materialsSupplier,53.346785,83.776860,Регион поставщик материалов,Алтайский край
Амурская область,materialsSupplier,50.290658,127.527173,Регион поставщик материалов,Амурская область
Архангельская область,materialsSupplier,64.539912,40.515762,Регион поставщик материалов,Архангельская область
Астраханская область,materialsSupplier,46.347616,48.030175,Регион поставщик материалов,Астраханская область
Белгородская область,materialsSupplier,50.595415,36.587272,Регион поставщик материалов,Белгородская область
Брянская область,materialsSupplier,53.243561,34.363428,Регион поставщик материалов,Брянская область
Владимирская область,materialsSupplier,56.129057,40.406635,Регион поставщик материалов,Владимирская область
Волгоградская область,materialsSupplier,48.707068,44.516979,Регион поставщик материалов,Волгоградская область
Вологодская область,materialsSupplier,59.220496,39.891523,Регион поставщик материалов,Вологодская область
Воронежская область,materialsSupplier,51.660779,39.200292,Регион поставщик материалов,Воронежская область
Забайкальский край,materialsSupplier,52.033638,113.501052,Регион поставщик материалов,Забайкальский край
Ивановская область,materialsSupplier,57.000348,40.973921,Регион поставщик материалов,Ивановская область
Иркутская область,materialsSupplier,52.289590,104.280608,Регион поставщик материалов,Иркутская область
Кабардино-Балкарская Республика,materialsSupplier,43.485259,43.607072,Регион поставщик материалов,Кабардино-Балкарская Республика
Калининградская область,materialsSupplier,54.710161,20.510138,Регион поставщик материалов,Калининградская область
Калужская область,materialsSupplier,54.513845,36.261215,Регион поставщик материалов,Калужская область
Камчатский край,materialsSupplier,53.024263,158.643504,Регион поставщик материалов,Камчатский край
Кемеровская область,materialsSupplier,55.355200,86.086848,Регион поставщик материалов,Кемеровская область
Кировская область,materialsSupplier,58.603595,49.668019,Регион поставщик материалов,Кировская область
Костромская область,materialsSupplier,57.767961,40.926858,Регион поставщик материалов,Костромская область
Краснодарский край,materialsSupplier,45.035470,38.975313,Регион поставщик материалов,Краснодарский край
Красноярский край,materialsSupplier,56.010563,92.852572,Регион поставщик материалов,Красноярский край
Курганская область,materialsSupplier,55.441005,65.341122,Регион поставщик материалов,Курганская область
Курская область,materialsSupplier,51.730848,36.193015,Регион поставщик материалов,Курская область
Ленинградская область,materialsSupplier,59.938951,30.315635,Регион поставщик материалов,Ленинградская область
Липецкая область,materialsSupplier,52.608820,39.599220,Регион поставщик материалов,Липецкая область
Москва,materialsSupplier,55.755864,37.617698,Регион поставщик материалов,Москва
Московская область,materialsSupplier,55.755863,37.617700,Регион поставщик материалов,Московская область
Мурманская область,materialsSupplier,68.970663,33.074914,Регион поставщик материалов,Мурманская область
Нижегородская область,materialsSupplier,56.326799,44.006520,Регион поставщик материалов,Нижегородская область
Новгородская область,materialsSupplier,58.522856,31.269813,Регион поставщик материалов,Новгородская область
Новосибирская область,materialsSupplier,55.030199,82.920430,Регион поставщик материалов,Новосибирская область
Омская область,materialsSupplier,54.989342,73.368212,Регион поставщик материалов,Омская область
Оренбургская область,materialsSupplier,51.768199,55.096955,Регион поставщик материалов,Оренбургская область
Орловская область,materialsSupplier,52.970758,36.064355,Регион поставщик материалов,Орловская область
Пензенская область,materialsSupplier,53.195042,45.018318,Регион поставщик материалов,Пензенская область
Пермский край,materialsSupplier,58.010454,56.229441,Регион поставщик материалов,Пермский край
Приморский край,materialsSupplier,43.115536,131.885485,Регион поставщик материалов,Приморский край
Псковская область,materialsSupplier,57.819276,28.332458,Регион поставщик материалов,Псковская область
Республика Алтай,materialsSupplier,51.957805,85.960631,Регион поставщик материалов,Республика Алтай
Республика Башкортостан,materialsSupplier,54.735147,55.958727,Регион поставщик материалов,Республика Башкортостан
Республика Бурятия,materialsSupplier,51.834811,107.584545,Регион поставщик материалов,Республика Бурятия
Республика Дагестан,materialsSupplier,42.983103,47.504748,Регион поставщик материалов,Республика Дагестан
Республика Ингушетия,materialsSupplier,43.166786,44.803574,Регион поставщик материалов,Республика Ингушетия
Республика Калмыкия,materialsSupplier,46.307743,44.269759,Регион поставщик материалов,Республика Калмыкия
Республика Карачаево-Черкесия,materialsSupplier,44.228376,42.048277,Регион поставщик материалов,Республика Карачаево-Черкесия
Республика Карелия,materialsSupplier,61.785020,34.346881,Регион поставщик материалов,Республика Карелия
Республика Коми,materialsSupplier,61.668796,50.836500,Регион поставщик материалов,Республика Коми
Республика Марий Эл,materialsSupplier,56.631600,47.886180,Регион поставщик материалов,Республика Марий Эл
Республика Мордовия,materialsSupplier,54.187433,45.183939,Регион поставщик материалов,Республика Мордовия
Республика Саха (Якутия),materialsSupplier,62.027221,129.732178,Регион поставщик материалов,Республика Саха (Якутия)
Республика Северная Осетия - Алания,materialsSupplier,43.024617,44.681768,Регион поставщик материалов,Республика Северная Осетия - Алания
Республика Татарстан,materialsSupplier,55.796129,49.106414,Регион поставщик материалов,Республика Татарстан
Республика Хакасия,materialsSupplier,53.721152,91.442387,Регион поставщик материалов,Республика Хакасия
Ростовская область,materialsSupplier,47.222078,39.720349,Регион поставщик материалов,Ростовская область
Рязанская область,materialsSupplier,54.629565,39.741914,Регион поставщик материалов,Рязанская область
Самарская область,materialsSupplier,53.195876,50.100199,Регион поставщик материалов,Самарская область
Санкт-Петербург,materialsSupplier,59.938784,30.314997,Регион поставщик материалов,Санкт-Петербург
Саратовская область,materialsSupplier,51.533561,46.034265,Регион поставщик материалов,Саратовская область
Свердловская область,materialsSupplier,56.838011,60.597465,Регион поставщик материалов,Свердловская область
Смоленская область,materialsSupplier,54.782634,32.045288,Регион поставщик материалов,Смоленская область
Ставропольский край,materialsSupplier,45.043315,41.969111,Регион поставщик материалов,Ставропольский край
Тамбовская область,materialsSupplier,52.721293,41.452749,Регион поставщик материалов,Тамбовская область
Тверская область,materialsSupplier,56.859626,35.911856,Регион поставщик материалов,Тверская область
Томская область,materialsSupplier,56.484640,84.947649,Регион поставщик материалов,Томская область
Тульская область,materialsSupplier,54.193122,37.617348,Регион поставщик материалов,Тульская область
Тюменская область,materialsSupplier,57.152986,65.541231,Регион поставщик материалов,Тюменская область
Удмуртская Республика,materialsSupplier,56.852677,53.206896,Регион поставщик материалов,Удмуртская Республика
Ульяновская область,materialsSupplier,54.314194,48.403131,Регион поставщик материалов,Ульяновская область
Хабаровский край,materialsSupplier,48.480223,135.071917,Регион поставщик материалов,Хабаровский край
Ханты-Мансийский автономный округ Югра,materialsSupplier,61.003180,69.018902,Регион поставщик материалов,Ханты-Мансийский автономный округ Югра
Челябинская область,materialsSupplier,55.159897,61.402554,Регион поставщик материалов,Челябинская область
Чеченская республика,materialsSupplier,43.318368,45.692419,Регион поставщик материалов,Чеченская республика
Чувашская Республика,materialsSupplier,56.139920,47.247731,Регион поставщик материалов,Чувашская Республика
Ямало-Ненецкий автономный округ,materialsSupplier,66.529865,66.614507,Регион поставщик материалов,Ямало-Ненецкий автономный округ
Ярославская область,materialsSupplier,57.626560,39.893813,Регион поставщик материалов,Ярославская область
ОАО «680 АРЗ»,repairFactory ,50.921292,128.473926,Авиаремонтный завод,Амурская область (г. Белогорск)
ОАО «ВЗ РТО»,repairFactory ,48.707068,44.516979,Авиаремонтный завод,Волгоградская область
ОАО «20 АРЗ»,repairFactory ,59.938784,30.314997,Авиаремонтный завод,г. Санкт-Петербург
ОАО «308 АРЗ»,repairFactory ,57.000348,40.973921,Авиаремонтный завод,Ивановская область
ОАО «275 АРЗ»,repairFactory ,45.035470,38.975313,Авиаремонтный завод,Краснодарский край (г. Краснодар)
